# Manuelt dannet graf over relationer i H1-H7 og I1 og I2.
# Dækker kun toplevel DE; dvs hvor de sidste 6 cifre = 0. Bortset fra hvor toplevel ikke har alle underliggende elementer med, fx 1908062.
# D=1, 6=GS, 7=SI.
#parent; child; cardinality; h1;h2;h3;h4;h5;h6;h7;i1;i2
1; 6;  1;         -;-;-;-;-;-;-;-;-
6; 7;  9999;      -;-;-;-;-;-;-;-;-
1; 1320; 1;        a;-;a;a;-;a;-;-;-
1; 1209; 1;        a;a;a;a;a;a;a;a;a
1; 1101; 1;        a;a;a;a;a;a;-;a;- 
1; 1102; 1;        a;a;a;a;a;a;a;a;-
1; 1417; 1;        a;b;a;a;-;-;-;-;-
1; 1321; 1;        a;-;a;-;a;a;-;a;-
1; 1306; 1;        a;a;a;a;a;a;a;a;a
1; 1409; 1;        b;-;b;b;-;-;-;-;-
1; 1305; 1;        a;a;a;a;a;a;a;a;a
1; 1210; 9;        b;-;b;b;-;b;b;-;-
1; 1212; 99;       a;a;a;a;a;a;-;a;a
7; 1212; 99;       a;a;a;a;a;a;-;a;a
6; 1901; 1;        a;a;a;a;-;-;-;-;-
6; 9905; 1;        a;b;b;a;a;-;-;-;-
7; 9905; 1;        a;b;b;a;a;-;-;-;-
6; 1908; 1;        a;-;a;a;b;-;-;-;-
1908; 1908062; 1;   a;-;a;a;a;-;-;-;-
6; 1903; 1;        a;b;a;a;a;-;-;-;-
1903; 1903001; 1;   a;b;a;a;a;-;-;-;-
7; 1808; 1;        a;c;c;c;c;-;-;c;-
7; 1416; 1;        b;b;b;b;b;-;-;-;-
7; 9901; 1;        a;-;-;-;-;-;-;a;-
7; 1411; 1;        a;c;a;a;b;-;-;a;-
6; 1406; 1;        c;-;c;c;c;-;-;c;-
6; 1405; 1;        a;-;a;a;a;-;-;a;-
6; 1314; 99;       c;c;c;c;c;c;-;c;-
7; 1314; 99;       c;c;c;c;c;c;-;c;-
6; 1202; 99;       a;a;a;a;a;a;c;a;-
7; 1202; 99;       a;a;a;a;a;a;c;a;-
6; 1204; 99;       a;a;a;a;a;a;a;a;-
7; 1204; 99;       a;a;a;a;a;a;a;a;-
6; 1309; 1;        a;-;-;-;-;-;-;-;-
7; 1309; 1;        a;-;-;-;-;-;-;-;-
6; 1906; 1;        b;-;b;b;b;-;-;-;-
6; 1904; 1;        a;b;a;a;b;-;-;-;-
6; 1615; 1;        a;a;a;a;b;-;a;a;a
6; 1907; 9999;     a;a;a;a;a;-;-;a;a
6; 1404; 99;       a;-;-;-;b;-;-;-;-
7; 1404; 99;       a;-;-;-;b;-;-;-;-
6; 1603; 1;        a;a;a;a;b;-;-;-;-
7; 1603; 1;        a;a;a;a;b;-;-;-;-
6; 1606; 1;        a;b;a;a;a;-;-;a;-
7; 1606; 1;        a;b;a;a;a;-;-;a;-
6; 1316; 99;       a;-;-;-;-;a;a;a;-
7; 1316; 99;       a;-;-;-;-;-;-;a;-
6; 1301; 1;        a;-;a;a;a;a;a;a;-
7; 1301; 1;        a;-;a;a;a;a;a;a;-
6; 1804; 1;        a;a;a;a;a;a;a;a;a
7; 1804; 1;        a;a;a;a;a;-;a;a;a
7; 9906; 1;        a;b;a;a;a;-;-;-;-
7; 1103; 1;        a;a;a;a;a;a;a;a;a
7; 1805; 1;        a;a;a;a;a;a;a;a;a
7; 1809; 1;        a;b;a;a;a;a;a;a;-
7; 1802; 1;        a;a;a;a;a;-;a;a;-
7; 1801; 1;        a;-;-;a;a;c;-;a;-
7; 1408; 1;        a;-;a;a;a;-;-;a;-
7; 1403; 99;       a;b;a;a;a;-;b;-;-
7; 1410; 1;        a;-;b;b;b;-;-;-;-
6; 1604; 1;        a;a;a;a;a;-;-;-;-
7; 1604; 1;        a;a;a;a;a;-;-;-;-
7; 1109; 1;        a;a;a;a;a;a;-;a;a
7; 1110; 99;       a;a;a;a;a;a;a;a;-
7; 1609; 1;        a;c;a;a;b;-;-;a;-
7; 1608; 1;        a;a;a;a;b;c;-;a;-
7; 1806; 99;       a;a;a;a;a;a;a;a;a
6; 1509; 1;        a;-;a;a;a;-;-;-;-
7; 1509; 1;        a;-;a;a;a;-;-;-;-
6; 1201; 99;       a;a;a;a;a;a;a;a;a
7; 1201; 99;       a;a;a;a;a;a;a;a;a
6; 1308; 1;        a;-;-;-;-;-;-;-;-
7; 1308; 1;        a;-;-;-;-;-;-;-;-
6; 1203; 99;       a;a;a;a;a;a;a;a;-
7; 1203; 99;       a;a;a;a;a;a;a;a;-
6; 1208; 1;        c;c;c;c;c;c;c;c;-
7; 1208; 1;        c;c;c;c;c;c;c;c;-
7; 1407; 1;        a;-;-;a;b;-;-;-;-
6; 1205; 99;       a;a;a;a;a;a;a;a;-
7; 1205; 99;       a;a;a;a;a;a;a;a;-
6; 1401; 1;        a;b;b;a;a;-;-;-;-
6; 1211; 1;        b;a;b;b;b;b;-;-;-
1; 1304; 1;        a;a;a;a;a;a;a;a;-
1; 9903; 99;       a;-;a;a;-;a;-;-;-
1; 9902; 9;        a;-;a;a;-;a;-;-;-
1; 1709; 1;        a;a;a;a;a;-;-;a;a
1; 1710; 1;        a;a;a;a;-;-;-;a;-
