# Manuelt dannet graf over relationer i H1-H7 og I1 og I2.
# Dækker kun toplevel DE; dvs hvor de sidste 6 cifre = 0.
# D=-1, -6=GS, -7=SI.
#parent; child; cardinality; h1;h2;h3;h4;h5;h6;h7;i1;i2
-1; -6;  1;    -;-;-;-;-;-;-;-;-
-6; -7;  9999; -;-;-;-;-;-;-;-;-
-1; 1320; 1;  a;-;a;a;-;a;-;-;-
-1; 1209; 1;  a;a;a;a;a;a;a;a;a
-1; 1101; 1;  a;a;a;a;a;a;-;a;-
-1; 1102; 1;  a;a;a;a;a;a;a;a;-
-1; 1417; 1;  a;b;a;a;-;-;-;-;-
-1; 1321; 1;  a;-;a;-;a;a;-;a;-
-1; 1306; 1;  a;a;a;a;a;a;a;a;a
-1; 1409; 1;  b;-;b;b;-;-;-;-;-
-1; 1305; 1;  a;a;a;a;a;a;a;a;a
-1; 1210; 9;  b;-;b;b;-;b;b;-;-
-1; 1212; 99; a;a;a;a;a;a;-;a;a
-7; 1212; 99; a;a;a;a;a;a;-;a;a
-6; 1901; 1;  a;a;a;a;-;-;-;-;-
-6; 9905; 1;  a;b;b;a;a;-;-;-;-
-7; 9905; 1;  a;b;b;a;a;-;-;-;-
